podCount,alpha,density,replicaCount,nodeCount,CCR,RRC,speedHete,MPEFT,MPEFTusage,IPPTS,IPPTSusage,CUSTOM,CUSTOMusage
700,0.2,0.6,4,32,0.5,0.50,0.1,2149693,0.089,2146002,0.089,882615,0.368
700,0.2,0.6,4,32,0.5,0.50,0.5,2038303,0.106,2404165,0.090,903527,0.405
700,0.2,0.6,4,32,0.5,0.50,0.5,2426611,0.073,2281827,0.078,821963,0.336
700,0.2,0.6,4,32,0.5,0.50,0.5,2256473,0.078,2779877,0.064,780895,0.337
700,0.2,0.6,4,32,0.5,0.50,0.5,2006341,0.082,2006341,0.082,678553,0.331
700,0.2,0.6,4,32,0.5,0.50,0.5,2256580,0.089,2959317,0.068,889436,0.309
700,0.2,0.6,4,32,0.5,0.50,0.5,2034026,0.103,2037870,0.102,816144,0.355
700,0.2,0.6,4,32,0.5,0.50,0.5,2623120,0.075,2568418,0.077,719671,0.410
700,0.2,0.6,4,32,0.5,0.50,0.5,2168396,0.085,2225732,0.083,763046,0.355
700,0.2,0.6,4,32,0.5,0.50,0.5,2589125,0.065,2579119,0.065,797700,0.310
700,0.2,0.6,4,32,0.5,0.50,0.5,2251278,0.085,2251278,0.085,882734,0.332
700,0.2,0.6,4,32,0.5,0.50,1.0,1955769,0.111,1955769,0.111,837074,0.401
700,0.2,0.6,4,32,0.5,0.50,1.0,2665946,0.067,2675849,0.066,718876,0.352
700,0.2,0.6,4,32,0.5,0.50,1.0,2254494,0.078,2112454,0.084,718926,0.348
700,0.2,0.6,4,32,0.5,0.50,1.0,2144575,0.077,2017535,0.082,618306,0.323
700,0.2,0.6,4,32,0.5,0.50,1.0,2908820,0.069,3373980,0.059,786700,0.346
700,0.2,0.6,4,32,0.5,0.50,1.0,2292027,0.091,2576689,0.081,734429,0.385
700,0.2,0.6,4,32,0.5,0.50,1.0,2923109,0.068,3436945,0.058,714300,0.378
700,0.2,0.6,4,32,0.5,0.50,1.0,2034393,0.091,2881525,0.064,719630,0.341
700,0.2,0.6,4,32,0.5,0.50,1.0,2986157,0.056,2956679,0.057,745263,0.316
700,0.2,0.6,4,32,0.5,0.50,1.0,2447008,0.078,2156366,0.088,789352,0.346
700,0.2,0.6,4,32,0.5,0.50,2.0,2219109,0.098,2670390,0.081,857269,0.354
700,0.2,0.6,4,32,0.5,0.50,2.0,2666384,0.067,2385349,0.074,671018,0.331
700,0.2,0.6,4,32,0.5,0.50,2.0,2226695,0.079,2456680,0.072,663484,0.320
700,0.2,0.6,4,32,0.5,0.50,2.0,2188130,0.075,1980898,0.083,548701,0.308
700,0.2,0.6,4,32,0.5,0.50,2.0,2260285,0.089,2150510,0.093,651938,0.350
700,0.2,0.6,4,32,0.5,0.50,2.0,2244741,0.093,2347691,0.089,774797,0.314
700,0.2,0.6,4,32,0.5,0.50,2.0,2375938,0.083,2752535,0.072,548252,0.405
700,0.2,0.6,4,32,0.5,0.50,2.0,1917812,0.096,2542166,0.073,664154,0.314
700,0.2,0.6,4,32,0.5,0.50,2.0,2906746,0.058,3023031,0.056,645822,0.328
700,0.2,0.6,4,32,0.5,0.50,2.0,2452771,0.078,2208501,0.086,681422,0.348
700,0.2,0.6,4,32,1.0,0.01,0.1,1912633,0.113,1996187,0.109,800082,0.398
700,0.2,0.6,4,32,1.0,0.01,0.1,2272057,0.078,2535906,0.070,711948,0.348
700,0.2,0.6,4,32,1.0,0.01,0.1,1932375,0.091,2119126,0.083,714955,0.325
700,0.2,0.6,4,32,1.0,0.01,0.1,1970173,0.084,2041168,0.081,578789,0.334
700,0.2,0.6,4,32,1.0,0.01,0.1,2431304,0.082,2536481,0.079,711235,0.336
700,0.2,0.6,4,32,1.0,0.01,0.1,2096455,0.100,2210609,0.094,757593,0.353
700,0.2,0.6,4,32,1.0,0.01,0.1,2385202,0.083,2614349,0.076,630136,0.410
700,0.2,0.6,4,32,1.0,0.01,0.1,2335348,0.079,2454322,0.075,708640,0.315
700,0.2,0.6,4,32,1.0,0.01,0.1,2429395,0.069,2539747,0.066,711251,0.291
