podCount,replicaCount,nodeCount,CCR,CTV,TCR,stageCount,MPEFT,MPEFTSLR,MPEFTspeedup,MPEFTefficiency,IPPTS,IPPTSSLR,IPPTSspeedup,IPPTSefficiency,HWS,HWSSLR,HWSspeedup,HWSefficiency,MACRO,MACROSLR,MACROspeedup,MACROefficiency
1100,8,12,0.2,0.25,0.2,2,3892,4.438,7.076,0.544,2539,2.002,11.064,0.851,5105,1.582,5.472,0.421,2369,2.173,11.791,0.907
1100,8,12,0.2,0.25,0.2,2,2827,2.331,9.926,0.764,2803,2.322,10.021,0.771,4669,1.508,6.000,0.462,2739,3.136,10.331,0.795
1100,8,12,0.2,0.25,0.2,2,3331,3.017,8.847,0.681,2925,1.739,9.909,0.762,6638,1.927,4.453,0.343,3081,2.377,9.593,0.738
1100,8,12,0.2,0.25,0.2,2,4498,0.695,6.585,0.507,4366,5.050,6.875,0.529,4638,1.622,6.386,0.491,3920,3.750,7.621,0.586
1100,8,12,0.2,0.25,0.2,2,3427,1.988,9.466,0.728,2940,3.282,10.887,0.837,4672,1.496,6.875,0.529,2771,1.957,11.424,0.879
1100,8,12,0.2,0.25,0.2,2,3067,4.212,8.984,0.691,2685,1.178,10.442,0.803,3105,0.633,8.878,0.683,3272,1.549,8.397,0.646
1100,8,12,0.2,0.25,0.2,2,2277,2.400,13.166,1.013,2181,1.606,13.744,1.057,2385,0.766,12.667,0.974,2042,2.679,15.126,1.164
1100,8,12,0.2,0.25,0.2,2,3161,3.267,9.584,0.737,3854,2.890,7.857,0.604,3216,0.967,9.310,0.716,3441,3.259,8.703,0.669
1100,8,12,0.2,0.25,0.2,2,3979,2.363,7.018,0.540,4060,4.016,6.876,0.529,4653,1.579,5.955,0.458,2938,3.047,9.675,0.744
1100,8,12,0.2,0.25,0.2,2,2785,2.110,10.049,0.773,2536,1.868,11.228,0.864,3136,1.082,8.922,0.686,2455,1.632,11.333,0.872
1100,8,12,0.2,0.25,0.2,3,4850,3.273,8.515,0.655,3436,2.408,12.063,0.928,7473,1.787,5.585,0.430,4665,1.220,8.701,0.669
1100,8,12,0.2,0.25,0.2,3,4207,2.622,9.875,0.760,3988,1.059,10.574,0.813,9495,1.099,4.459,0.343,4415,2.579,9.589,0.738
1100,8,12,0.2,0.25,0.2,3,4487,0.963,9.720,0.748,4863,1.978,8.972,0.690,6984,1.318,6.245,0.480,4302,1.311,10.139,0.780
1100,8,12,0.2,0.25,0.2,3,5964,2.377,7.427,0.571,5162,1.803,8.525,0.656,6777,1.634,6.558,0.504,5270,1.219,8.354,0.643
1100,8,12,0.2,0.25,0.2,3,4159,3.156,11.641,0.895,3966,1.508,12.207,0.939,7116,1.546,6.588,0.507,3852,2.479,12.187,0.937
1100,8,12,0.2,0.25,0.2,3,4401,3.184,9.312,0.716,4209,1.249,9.853,0.758,4873,1.070,8.568,0.659,4284,2.448,9.638,0.741
1100,8,12,0.2,0.25,0.2,3,6176,3.741,7.150,0.550,3102,1.251,14.339,1.103,5042,0.992,8.915,0.686,3077,2.071,14.469,1.113
1100,8,12,0.2,0.25,0.2,3,4458,1.521,10.059,0.774,4349,1.409,10.393,0.799,4621,1.075,9.745,0.750,5756,2.808,7.823,0.602
1100,8,12,0.2,0.25,0.2,3,7035,5.458,5.845,0.450,5640,3.813,7.290,0.561,6892,1.583,6.057,0.466,4340,2.180,9.626,0.740
1100,8,12,0.2,0.25,0.2,3,3922,2.505,10.637,0.818,3832,1.389,10.888,0.838,4590,1.000,9.225,0.710,3466,2.857,12.032,0.926
1100,8,12,0.2,0.25,0.2,4,5635,2.781,9.827,0.756,5199,3.302,10.884,0.837,6318,0.910,8.745,0.673,5115,3.070,10.803,0.831
1100,8,12,0.2,0.25,0.2,4,5799,3.036,9.624,0.740,5281,2.600,10.594,0.815,12808,1.948,4.302,0.331,5322,1.618,10.367,0.797
1100,8,12,0.2,0.25,0.2,4,8736,4.687,6.757,0.520,5969,2.616,9.789,0.753,13273,2.194,4.405,0.339,5857,1.833,9.995,0.769
1100,8,12,0.2,0.25,0.2,4,7951,2.397,7.436,0.572,8342,1.955,7.121,0.548,9082,1.378,6.659,0.512,7813,3.379,7.741,0.595
1100,8,12,0.2,0.25,0.2,4,6708,2.958,9.596,0.738,5266,1.629,12.018,0.924,9225,1.543,6.887,0.530,6154,3.386,9.740,0.749
1100,8,12,0.2,0.25,0.2,4,6370,4.387,8.669,0.667,5601,3.607,10.014,0.770,6196,1.002,8.968,0.690,5681,0.869,9.685,0.745
1100,8,12,0.2,0.25,0.2,4,4931,1.701,11.950,0.919,4366,2.138,13.546,1.042,4607,0.707,12.767,0.982,4185,2.205,14.075,1.083
1100,8,12,0.2,0.25,0.2,4,6048,3.330,9.994,0.769,7470,3.868,7.949,0.611,6574,1.100,9.006,0.693,7824,5.391,7.566,0.582
1100,8,12,0.2,0.25,0.2,4,7355,0.801,7.718,0.594,6403,3.573,8.865,0.682,9347,1.358,5.922,0.456,8968,3.271,6.642,0.511
1100,8,12,0.2,0.25,0.2,4,5079,3.579,11.119,0.855,5053,2.392,11.072,0.852,6178,0.947,8.919,0.686,4955,1.802,11.119,0.855
1100,8,12,0.2,0.25,0.5,2,2420,0.933,11.544,0.888,2245,2.460,12.282,0.945,5084,1.489,5.443,0.419,2758,3.873,10.017,0.771
1100,8,12,0.2,0.25,0.5,2,3489,1.223,8.104,0.623,2703,1.571,10.334,0.795,4783,1.858,5.894,0.453,2798,1.965,9.986,0.768
1100,8,12,0.2,0.25,0.5,2,3677,1.652,7.578,0.583,2873,3.731,10.262,0.789,6575,2.317,4.495,0.346,3142,3.698,9.339,0.718
1100,8,12,0.2,0.25,0.5,2,5448,4.789,5.437,0.418,3996,1.374,7.450,0.573,4673,1.505,6.297,0.484,3396,2.417,8.796,0.677
1100,8,12,0.2,0.25,0.5,2,3218,1.927,9.949,0.765,2719,2.393,11.774,0.906,4677,1.497,6.892,0.530,2838,1.756,11.279,0.868
1100,8,12,0.2,0.25,0.5,2,2728,2.200,10.071,0.775,3303,1.373,8.407,0.647,3132,1.201,8.965,0.690,2699,1.988,10.127,0.779
1100,8,12,0.2,0.25,0.5,2,2523,2.586,11.777,0.906,2147,3.412,13.859,1.066,2433,0.717,12.322,0.948,2161,2.273,13.871,1.067
1100,8,12,0.2,0.25,0.5,2,4386,2.379,6.827,0.525,3023,2.342,9.907,0.762,3280,1.016,9.131,0.702,3675,4.433,8.148,0.627
1100,8,12,0.2,0.25,0.5,2,3769,2.238,7.309,0.562,3367,0.674,8.082,0.622,4777,1.367,5.872,0.452,3239,3.163,8.497,0.654
1100,8,12,0.2,0.25,0.5,2,2519,2.386,11.088,0.853,2023,1.509,13.916,1.070,3138,1.083,8.757,0.674,2416,2.524,11.719,0.901
1100,8,12,0.2,0.25,0.5,3,3748,2.854,11.020,0.848,3963,2.476,10.525,0.810,7466,1.610,5.531,0.425,3914,3.011,10.655,0.820
1100,8,12,0.2,0.25,0.5,3,7009,2.383,5.971,0.459,4130,1.864,10.165,0.782,9536,1.945,4.406,0.339,4440,1.039,9.359,0.720
1100,8,12,0.2,0.25,0.5,3,5389,2.579,8.094,0.623,4451,2.192,9.798,0.754,9803,1.892,4.427,0.341,4414,2.838,9.849,0.758
1100,8,12,0.2,0.25,0.5,3,5724,0.621,7.734,0.595,5641,3.855,7.888,0.607,6893,1.570,6.406,0.493,5713,4.238,7.864,0.605
1100,8,12,0.2,0.25,0.5,3,5070,1.817,8.124,0.625,4174,1.879,11.427,0.879,7121,1.547,6.800,0.523,4017,2.842,11.614,0.893
1100,8,12,0.2,0.25,0.5,3,4484,0.865,9.272,0.713,4152,2.146,10.034,0.772,4685,1.024,8.890,0.684,4336,1.167,9.550,0.735
1100,8,12,0.2,0.25,0.5,3,3955,2.120,11.164,0.859,3076,1.920,14.765,1.136,3424,0.765,13.127,1.010,3136,1.450,14.333,1.103
1100,8,12,0.2,0.25,0.5,3,5053,2.626,8.879,0.683,4553,2.873,9.924,0.763,4763,1.055,9.453,0.727,5066,3.822,8.203,0.631
1100,8,12,0.2,0.25,0.5,3,4407,3.419,9.424,0.725,5286,2.966,7.732,0.595,7181,1.367,5.774,0.444,5214,1.451,8.008,0.616
1100,8,12,0.2,0.25,0.5,3,4049,3.328,10.392,0.799,3454,1.594,11.948,0.919,4630,1.031,9.010,0.693,3617,1.419,11.729,0.902
1100,8,12,0.2,0.25,0.5,4,4690,2.138,11.897,0.915,4595,1.824,12.108,0.931,6301,1.058,8.821,0.679,5070,3.268,11.072,0.852
1100,8,12,0.2,0.25,0.5,4,6664,2.905,8.244,0.634,6628,3.477,8.420,0.648,6351,1.008,8.861,0.682,4965,2.141,11.370,0.875
1100,8,12,0.2,0.25,0.5,4,8164,4.248,7.196,0.554,5761,3.334,10.222,0.786,13101,2.185,4.469,0.344,5533,2.323,10.695,0.823
1100,8,12,0.2,0.25,0.5,4,7292,3.066,8.104,0.623,7755,3.854,7.264,0.559,9065,1.542,6.537,0.503,7321,0.882,8.006,0.616
1100,8,12,0.2,0.25,0.5,4,5570,2.136,11.309,0.870,5566,2.150,11.412,0.878,9013,1.341,6.994,0.538,5260,1.723,12.080,0.929
1100,8,12,0.2,0.25,0.5,4,7993,3.972,6.915,0.532,6193,3.865,8.925,0.687,6180,0.964,8.972,0.690,6030,2.464,9.394,0.723
1100,8,12,0.2,0.25,0.5,4,4505,1.625,13.074,1.006,4271,1.742,13.917,1.071,4693,0.817,12.522,0.963,4175,2.387,14.207,1.093
1100,8,12,0.2,0.25,0.5,4,8255,2.624,7.172,0.552,6856,3.103,8.635,0.664,6429,1.010,9.209,0.708,7181,2.308,7.634,0.587
1100,8,12,0.2,0.25,0.5,4,8909,3.465,6.135,0.472,6102,2.719,9.282,0.714,9125,1.334,6.024,0.463,8462,4.763,6.628,0.510
1100,8,12,0.2,0.25,0.5,4,5573,2.539,10.021,0.771,5052,1.895,10.935,0.841,6182,1.019,8.905,0.685,4735,1.386,11.797,0.907
1100,8,12,0.2,0.25,2.0,2,3076,0.864,9.081,0.699,2435,2.211,11.473,0.883,5077,1.426,5.502,0.423,2340,1.690,11.939,0.918
1100,8,12,0.2,0.25,2.0,2,3851,3.175,7.279,0.560,2759,0.939,10.223,0.786,6522,2.088,4.297,0.331,2823,1.885,9.925,0.763
1100,8,12,0.2,0.25,2.0,2,3293,1.226,8.863,0.682,3048,2.612,9.577,0.737,6485,1.978,4.558,0.351,3227,3.061,9.159,0.705
1100,8,12,0.2,0.25,2.0,2,3948,1.866,7.502,0.577,3935,3.308,7.527,0.579,4656,1.439,6.352,0.489,4103,1.169,7.246,0.557
1100,8,12,0.2,0.25,2.0,2,3392,2.792,9.437,0.726,2638,2.759,11.878,0.914,4746,1.444,6.668,0.513,2686,2.232,11.601,0.892
1100,8,12,0.2,0.25,2.0,2,3562,2.667,7.850,0.604,3019,3.351,9.186,0.707,3114,0.962,8.802,0.677,3221,1.367,8.431,0.649
1100,8,12,0.2,0.25,2.0,2,2512,3.600,11.943,0.919,2229,3.018,13.213,1.016,3122,0.944,9.581,0.737,2187,2.212,13.385,1.030
1100,8,12,0.2,0.25,2.0,2,2929,3.121,10.088,0.776,3748,4.789,7.938,0.611,4768,1.687,6.281,0.483,3674,3.434,8.151,0.627
1100,8,12,0.2,0.25,2.0,2,3819,2.268,7.310,0.562,3407,3.369,8.104,0.623,4750,1.381,5.878,0.452,3390,2.784,8.244,0.634
1100,8,12,0.2,0.25,2.0,2,2620,3.570,10.790,0.830,2381,1.390,11.812,0.909,3237,0.943,8.656,0.666,2455,1.176,11.406,0.877
1100,8,12,0.2,0.25,2.0,3,3905,2.974,10.724,0.825,3395,2.068,12.352,0.950,7539,1.603,5.478,0.421,3669,2.037,11.256,0.866
1100,8,12,0.2,0.25,2.0,3,5041,3.098,8.375,0.644,3935,1.435,10.640,0.818,7840,1.500,5.323,0.409,4208,1.987,9.779,0.752
1100,8,12,0.2,0.25,2.0,3,4694,2.781,9.292,0.715,4749,2.826,9.185,0.707,9804,1.893,4.464,0.343,4215,3.097,10.546,0.811
1100,8,12,0.2,0.25,2.0,3,6023,0.859,7.332,0.564,5462,2.929,8.149,0.627,6822,1.516,6.512,0.501,5857,2.114,7.623,0.586
1100,8,12,0.2,0.25,2.0,3,4565,1.463,10.354,0.796,4322,2.350,10.359,0.797,7139,1.324,6.598,0.508,4239,2.430,11.090,0.853
1100,8,12,0.2,0.25,2.0,3,5366,3.173,7.748,0.596,4761,2.610,8.710,0.670,4547,1.041,9.286,0.714,3684,2.441,11.037,0.849
1100,8,12,0.2,0.25,2.0,3,3910,3.040,11.423,0.879,3279,2.033,13.568,1.044,4935,1.054,8.927,0.687,3156,2.163,14.061,1.082
1100,8,12,0.2,0.25,2.0,3,6867,4.547,6.557,0.504,5104,2.896,8.822,0.679,7154,1.353,6.173,0.475,4132,2.818,10.940,0.842
1100,8,12,0.2,0.25,2.0,3,5576,5.448,7.416,0.570,5193,2.754,8.231,0.633,6950,1.528,5.996,0.461,5674,3.456,7.278,0.560
1100,8,12,0.2,0.25,2.0,3,4440,2.955,9.350,0.719,3725,1.366,11.261,0.866,4642,0.952,8.839,0.680,3415,1.785,12.219,0.940
1100,8,12,0.2,0.25,2.0,4,9813,4.434,5.627,0.433,5421,2.973,10.329,0.795,9937,1.591,5.560,0.428,5531,3.107,10.064,0.774
1100,8,12,0.2,0.25,2.0,4,6260,3.027,8.891,0.684,5760,1.430,9.700,0.746,6369,1.010,8.763,0.674,5215,2.119,10.702,0.823
1100,8,12,0.2,0.25,2.0,4,6384,2.573,9.143,0.703,4853,2.979,12.063,0.928,12941,2.094,4.544,0.350,5945,1.902,9.764,0.751
1100,8,12,0.2,0.25,2.0,4,8305,0.885,7.251,0.558,7583,3.089,7.885,0.607,9392,1.540,6.440,0.495,7820,3.725,7.495,0.577
1100,8,12,0.2,0.25,2.0,4,5982,2.676,10.483,0.806,5338,3.193,11.735,0.903,9372,1.626,6.779,0.521,5587,2.782,11.373,0.875
1100,8,12,0.2,0.25,2.0,4,9247,3.951,5.977,0.460,5582,2.528,9.880,0.760,6291,0.920,8.786,0.676,6487,3.527,8.485,0.653
1100,8,12,0.2,0.25,2.0,4,4358,1.779,13.630,1.048,4238,1.155,14.147,1.088,7192,1.258,8.252,0.635,4118,2.173,14.361,1.105
1100,8,12,0.2,0.25,2.0,4,6810,4.315,8.693,0.669,7094,4.816,8.345,0.642,6445,1.167,9.330,0.718,6604,3.067,8.976,0.690
1100,8,12,0.2,0.25,2.0,4,8989,1.514,6.215,0.478,6255,1.508,8.878,0.683,9426,1.565,5.835,0.449,9097,1.003,6.168,0.474
1100,8,12,0.2,0.25,2.0,4,5206,2.385,10.572,0.813,5048,2.717,11.019,0.848,6216,0.996,8.836,0.680,4749,2.204,12.082,0.929
1100,8,12,0.2,0.25,5.0,2,2938,3.346,9.517,0.732,2174,1.701,12.849,0.988,5113,1.436,5.443,0.419,2349,1.781,11.917,0.917
1100,8,12,0.2,0.25,5.0,2,3693,1.040,7.541,0.580,2747,1.973,10.108,0.778,4430,1.229,6.278,0.483,3099,3.288,9.145,0.703
1100,8,12,0.2,0.25,5.0,2,3233,2.720,9.143,0.703,3246,3.095,9.107,0.701,6675,1.938,4.381,0.337,3332,3.085,8.745,0.673
1100,8,12,0.2,0.25,5.0,2,3773,0.830,7.890,0.607,4021,4.280,7.459,0.574,4646,1.714,6.374,0.490,3990,2.203,7.423,0.571
1100,8,12,0.2,0.25,5.0,2,2989,1.435,10.709,0.824,2692,2.155,11.890,0.915,4769,1.494,6.531,0.502,2740,1.281,11.539,0.888
1100,8,12,0.2,0.25,5.0,2,3487,3.102,8.066,0.620,2815,3.443,9.977,0.767,3221,1.052,8.672,0.667,2999,1.157,9.261,0.712
1100,8,12,0.2,0.25,5.0,2,2648,2.281,11.258,0.866,2280,1.376,12.720,0.978,2316,0.781,12.942,0.996,2268,1.396,13.215,1.017
1100,8,12,0.2,0.25,5.0,2,4099,4.763,7.306,0.562,3030,2.113,9.853,0.758,4720,1.559,6.539,0.503,3447,3.523,8.688,0.668
1100,8,12,0.2,0.25,5.0,2,3574,2.122,7.664,0.590,3732,2.150,7.471,0.575,4719,1.609,6.007,0.462,3537,3.336,7.903,0.608
1100,8,12,0.2,0.25,5.0,2,2652,2.650,10.710,0.824,2468,1.216,11.335,0.872,3134,1.051,8.946,0.688,2421,2.353,11.491,0.884
1100,8,12,0.2,0.25,5.0,3,3852,2.630,10.722,0.825,4004,2.590,10.314,0.793,7510,1.619,5.499,0.423,3978,2.744,10.380,0.798
1100,8,12,0.2,0.25,5.0,3,4747,2.938,8.759,0.674,4247,2.337,9.955,0.766,9759,2.113,4.279,0.329,4221,2.783,9.861,0.759
1100,8,12,0.2,0.25,5.0,3,5156,3.854,8.487,0.653,5022,1.480,8.381,0.645,4741,0.987,9.200,0.708,4548,1.522,9.590,0.738
1100,8,12,0.2,0.25,5.0,3,7334,1.670,6.067,0.467,5655,4.171,7.869,0.605,7070,1.610,6.242,0.480,5831,2.165,7.632,0.587
1100,8,12,0.2,0.25,5.0,3,4816,3.002,10.054,0.773,4461,3.037,10.698,0.823,7200,1.435,6.621,0.509,4260,3.149,11.397,0.877
1100,8,12,0.2,0.25,5.0,3,4858,2.960,8.558,0.658,4170,1.351,9.940,0.765,4639,0.959,8.890,0.684,4692,2.623,8.832,0.679
1100,8,12,0.2,0.25,5.0,3,3567,2.206,12.243,0.942,3281,2.519,13.671,1.052,5609,1.111,7.866,0.605,3191,1.558,13.796,1.061
1100,8,12,0.2,0.25,5.0,3,5321,4.281,8.437,0.649,4720,3.745,9.491,0.730,7157,1.354,6.203,0.477,5398,0.728,8.340,0.642
1100,8,12,0.2,0.25,5.0,3,5365,3.766,7.663,0.589,4756,2.244,8.811,0.678,6906,1.587,6.031,0.464,4763,0.829,8.937,0.687
1100,8,12,0.2,0.25,5.0,3,4364,1.612,10.383,0.799,3815,3.506,11.209,0.862,4799,0.902,8.696,0.669,3733,2.888,11.153,0.858
1100,8,12,0.2,0.25,5.0,4,5499,2.299,10.067,0.774,5210,2.530,10.606,0.816,10072,1.626,5.489,0.422,7411,5.012,7.575,0.583
1100,8,12,0.2,0.25,5.0,4,6979,4.506,7.996,0.615,6351,2.519,8.788,0.676,12796,2.214,4.359,0.335,5636,3.570,9.958,0.766
1100,8,12,0.2,0.25,5.0,4,6099,3.466,9.203,0.708,5930,2.302,9.872,0.759,12956,1.822,4.519,0.348,6016,2.281,9.731,0.749
1100,8,12,0.2,0.25,5.0,4,7787,1.278,7.593,0.584,7778,0.949,7.468,0.574,9192,1.355,6.421,0.494,8283,3.653,7.247,0.557
1100,8,12,0.2,0.25,5.0,4,6529,1.667,9.759,0.751,5597,1.269,11.291,0.869,9265,1.389,6.934,0.533,5329,3.233,11.844,0.911
1100,8,12,0.2,0.25,5.0,4,5772,2.241,9.795,0.753,5721,2.556,9.673,0.744,6208,0.962,8.903,0.685,6815,4.589,8.111,0.624
1100,8,12,0.2,0.25,5.0,4,4741,1.999,12.473,0.959,4216,2.586,14.025,1.079,4720,0.724,12.604,0.970,4346,1.882,13.655,1.050
1100,8,12,0.2,0.25,5.0,4,9424,6.627,6.329,0.487,6896,2.658,8.634,0.664,9508,1.345,6.385,0.491,5527,3.281,10.745,0.827
1100,8,12,0.2,0.25,5.0,4,7226,4.005,7.675,0.590,6420,3.823,8.628,0.664,9412,1.378,5.938,0.457,9390,2.725,5.889,0.453
1100,8,12,0.2,0.25,5.0,4,5415,1.131,10.175,0.783,5094,2.956,10.816,0.832,6103,1.117,9.175,0.706,4887,2.176,11.428,0.879
1100,8,12,0.2,0.50,0.2,2,2801,0.897,9.895,0.761,2254,1.867,12.254,0.943,3208,0.917,8.611,0.662,2169,1.760,12.737,0.980
1100,8,12,0.2,0.50,0.2,2,3726,3.459,7.489,0.576,2846,2.092,9.804,0.754,6425,2.281,4.353,0.335,2878,2.611,9.669,0.744
1100,8,12,0.2,0.50,0.2,2,3196,3.308,9.099,0.700,3422,3.735,8.508,0.654,6757,2.327,4.390,0.338,2979,2.433,9.611,0.739
1100,8,12,0.2,0.50,0.2,2,5609,5.075,5.228,0.402,3539,1.607,8.313,0.639,4591,1.446,6.515,0.501,3461,2.941,8.537,0.657
1100,8,12,0.2,0.50,0.2,2,3394,1.582,9.144,0.703,2539,0.981,12.412,0.955,4505,1.546,7.056,0.543,2603,2.160,12.211,0.939
1100,8,12,0.2,0.50,0.2,2,3786,3.113,7.174,0.552,3112,3.492,8.729,0.671,3128,1.029,8.790,0.676,2935,3.768,9.412,0.724
1100,8,12,0.2,0.50,0.2,2,2465,2.332,11.995,0.923,2478,2.200,12.009,0.924,3096,1.096,9.530,0.733,2141,1.941,13.825,1.063
1100,8,12,0.2,0.50,0.2,2,3219,2.398,9.388,0.722,3464,1.842,8.490,0.653,4681,1.626,5.851,0.450,3290,2.740,9.095,0.700
1100,8,12,0.2,0.50,0.2,2,3415,4.134,8.010,0.616,4013,1.098,6.990,0.538,4743,1.640,5.786,0.445,3577,0.661,8.200,0.631
1100,8,12,0.2,0.50,0.2,2,3129,2.039,8.814,0.678,2504,1.360,11.010,0.847,3109,1.012,8.871,0.682,2442,2.138,11.093,0.853
1100,8,12,0.2,0.50,0.2,3,4632,2.977,8.873,0.683,3215,2.226,12.685,0.976,4721,0.933,8.814,0.678,3195,2.490,12.964,0.997
1100,8,12,0.2,0.50,0.2,3,4485,1.011,9.402,0.723,4224,2.366,9.983,0.768,9746,2.184,4.327,0.333,4038,2.611,10.442,0.803
1100,8,12,0.2,0.50,0.2,3,4590,1.328,9.396,0.723,3941,0.867,10.959,0.843,9968,1.948,4.310,0.332,4338,3.020,10.151,0.781
1100,8,12,0.2,0.50,0.2,3,6162,3.573,7.151,0.550,6119,1.420,7.166,0.551,6832,1.365,6.469,0.498,5187,4.186,8.521,0.655
1100,8,12,0.2,0.50,0.2,3,5549,2.280,8.651,0.665,4046,1.409,11.610,0.893,6811,1.500,6.905,0.531,3901,1.301,12.088,0.930
1100,8,12,0.2,0.50,0.2,3,4769,3.561,8.618,0.663,4166,4.027,9.928,0.764,4679,0.952,8.786,0.676,4138,2.827,9.933,0.764
1100,8,12,0.2,0.50,0.2,3,4166,3.028,10.587,0.814,3265,1.160,13.790,1.061,4164,0.947,10.575,0.813,3103,1.941,14.478,1.114
1100,8,12,0.2,0.50,0.2,3,4845,2.446,9.286,0.714,5188,3.744,8.672,0.667,7051,1.357,6.327,0.487,4470,2.822,10.040,0.772
1100,8,12,0.2,0.50,0.2,3,5966,1.622,6.927,0.533,5177,2.797,7.874,0.606,6913,1.619,5.953,0.458,5602,1.947,7.289,0.561
1100,8,12,0.2,0.50,0.2,3,4861,3.604,8.552,0.658,3509,1.873,11.690,0.899,4642,0.892,8.975,0.690,3619,2.884,11.574,0.890
1100,8,12,0.2,0.50,0.2,4,4791,1.951,11.405,0.877,4902,1.996,11.147,0.857,9994,1.628,5.467,0.421,4724,1.971,11.565,0.890
1100,8,12,0.2,0.50,0.2,4,5820,2.305,9.452,0.727,5145,1.068,10.805,0.831,12890,1.329,4.188,0.322,6349,3.252,8.777,0.675
1100,8,12,0.2,0.50,0.2,4,6510,1.226,8.850,0.681,5664,1.654,10.186,0.784,13118,2.217,4.450,0.342,5938,4.338,9.636,0.741
1100,8,12,0.2,0.50,0.2,4,10248,5.164,5.760,0.443,7408,3.606,8.108,0.624,9198,1.331,6.420,0.494,7610,1.194,7.894,0.607
1100,8,12,0.2,0.50,0.2,4,6089,3.253,10.360,0.797,5417,2.304,11.724,0.902,9263,1.528,6.810,0.524,5453,1.366,11.569,0.890
1100,8,12,0.2,0.50,0.2,4,6468,3.198,8.487,0.653,6135,4.202,8.910,0.685,6542,1.011,8.377,0.644,5273,2.056,10.519,0.809
1100,8,12,0.2,0.50,0.2,4,4450,1.379,13.150,1.012,4091,1.595,14.518,1.117,5759,0.939,10.109,0.778,4241,2.276,13.953,1.073
1100,8,12,0.2,0.50,0.2,4,8092,5.398,7.424,0.571,5747,3.517,10.530,0.810,9064,1.435,6.683,0.514,8238,4.362,7.347,0.565
1100,8,12,0.2,0.50,0.2,4,6107,1.197,9.093,0.699,6818,3.063,8.255,0.635,9437,1.397,5.964,0.459,7083,2.775,7.946,0.611
1100,8,12,0.2,0.50,0.2,4,5947,1.845,9.184,0.706,4965,3.391,11.001,0.846,6106,1.003,9.125,0.702,4489,1.523,12.487,0.961
1100,8,12,0.2,0.50,0.5,2,2736,2.841,9.839,0.757,2900,3.094,9.389,0.722,4938,1.671,5.594,0.430,2245,2.135,12.304,0.946
1100,8,12,0.2,0.50,0.5,2,2668,2.477,10.458,0.804,2881,3.751,9.687,0.745,6360,2.123,4.382,0.337,2814,2.461,9.840,0.757
1100,8,12,0.2,0.50,0.5,2,4109,3.512,7.115,0.547,3112,2.088,9.348,0.719,6438,1.897,4.485,0.345,3234,2.965,8.994,0.692
1100,8,12,0.2,0.50,0.5,2,3732,3.232,7.898,0.608,4109,4.144,7.150,0.550,4576,1.441,6.499,0.500,3689,4.150,7.929,0.610
1100,8,12,0.2,0.50,0.5,2,2742,2.510,11.351,0.873,3011,1.958,10.555,0.812,4655,1.518,6.827,0.525,2584,2.487,12.299,0.946
1100,8,12,0.2,0.50,0.5,2,3801,3.125,7.147,0.550,3129,3.599,8.680,0.668,3138,1.032,8.780,0.675,2857,3.018,9.499,0.731
1100,8,12,0.2,0.50,0.5,2,2188,2.217,13.376,1.029,2078,1.568,14.207,1.093,3898,1.168,7.630,0.587,2187,1.533,13.601,1.046
1100,8,12,0.2,0.50,0.5,2,3711,4.096,8.090,0.622,3122,3.937,9.623,0.740,3349,0.833,9.182,0.706,4242,5.023,7.190,0.553
1100,8,12,0.2,0.50,0.5,2,3624,4.407,7.685,0.591,3573,2.509,7.752,0.596,4586,1.623,6.036,0.464,3163,3.023,8.752,0.673
1100,8,12,0.2,0.50,0.5,2,2968,3.782,9.293,0.715,2551,1.773,10.813,0.832,3092,1.187,8.764,0.674,2478,3.331,11.131,0.856
1100,8,12,0.2,0.50,0.5,3,3721,2.883,10.974,0.844,3551,1.901,11.573,0.890,4783,1.162,8.438,0.649,3823,2.184,10.683,0.822
1100,8,12,0.2,0.50,0.5,3,6499,1.591,6.488,0.499,4298,2.167,9.810,0.755,9753,2.186,4.324,0.333,4030,2.098,10.421,0.802
1100,8,12,0.2,0.50,0.5,3,6119,5.258,6.739,0.518,4622,2.935,9.275,0.713,9788,2.249,4.430,0.341,4393,3.333,9.897,0.761
1100,8,12,0.2,0.50,0.5,3,5793,3.723,7.715,0.593,6038,1.401,7.319,0.563,6847,1.589,6.152,0.473,5165,0.693,8.515,0.655
1100,8,12,0.2,0.50,0.5,3,4251,2.052,11.039,0.849,4350,2.129,11.050,0.850,6966,1.541,6.771,0.521,4307,2.295,11.034,0.849
1100,8,12,0.2,0.50,0.5,3,4098,2.026,10.094,0.776,5178,3.496,8.061,0.620,4764,1.004,8.646,0.665,4901,4.848,8.242,0.634
1100,8,12,0.2,0.50,0.5,3,3456,1.477,12.725,0.979,3163,1.863,13.923,1.071,5654,1.262,7.863,0.605,3070,2.121,14.597,1.123
1100,8,12,0.2,0.50,0.5,3,4819,1.445,9.335,0.718,4844,3.496,9.288,0.714,6372,1.226,7.032,0.541,3931,2.054,11.592,0.892
1100,8,12,0.2,0.50,0.5,3,5345,2.114,7.754,0.596,5149,2.892,8.001,0.615,7001,2.026,6.033,0.464,4899,1.422,8.325,0.640
1100,8,12,0.2,0.50,0.5,3,3861,1.998,10.757,0.827,3550,1.950,11.646,0.896,4651,0.949,8.949,0.688,3770,2.846,11.577,0.891
